,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
32,beverages,other vegetables,root vegetables,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,abrasive cleaner,artif. sweetener,berries,other vegetables,pork,soda,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
34,beef,detergent,grapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dessert,other vegetables,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,citrus fruit,newspapers,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,canned beer,rolls/buns,sausage,shopping bags,soda,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,
41,brown bread,candy,cereals,coffee,domestic eggs,pastry,root vegetables,soda,sugar,tropical fruit,waffles,whole milk,yogurt,,,,,,,,,,,,,,,,,,,
42,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,bottled water,butter milk,cream cheese,newspapers,rolls/buns,soda,spread cheese,yogurt,,,,,,,,,,,,,,,,,,,,,,,,
45,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,bottled water,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,UHT-milk,bottled water,butter,curd,hard cheese,long life bakery product,other vegetables,rolls/buns,root vegetables,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,
50,cat food,newspapers,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,grapes,ham,other vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,baking powder,brown bread,curd,domestic eggs,fruit/vegetable juice,margarine,other vegetables,semi-finished bread,tropical fruit,turkey,,,,,,,,,,,,,,,,,,,,,,
54,pickled vegetables,processed cheese,soda,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,curd,pastry,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,brown bread,canned beer,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,bottled water,chewing gum,chocolate marshmallow,hygiene articles,napkins,oil,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,
58,beef,cat food,ham,ice cream,rolls/buns,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
59,pastry,rolls/buns,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,canned fish,detergent,frozen vegetables,other vegetables,salty snack,seasonal products,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
61,pastry,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,beef,sausage,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,brown bread,frankfurter,rolls/buns,sugar,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,pastry,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,coffee,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,newspapers,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,curd,sausage,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,berries,chocolate,frozen potato products,pickled vegetables,pip fruit,rolls/buns,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
70,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,butter,candles,flower (seeds),margarine,specialty chocolate,specialty fat,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
72,citrus fruit,domestic eggs,frankfurter,newspapers,oil,sparkling wine,specialty chocolate,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
73,meat spreads,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,frozen potato products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,other vegetables,rolls/buns,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,butter milk,citrus fruit,curd,pastry,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,bottled beer,bottled water,flour,fruit/vegetable juice,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,bottled beer,bottled water,soda,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,coffee,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,bathroom cleaner,canned vegetables,domestic eggs,frozen vegetables,fruit/vegetable juice,margarine,oil,rolls/buns,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,
82,frozen vegetables,hard cheese,onions,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,candles,condensed milk,frozen vegetables,herbs,oil,salt,white wine,,,,,,,,,,,,,,,,,,,,,,,,,
84,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,brandy,detergent,onions,rolls/buns,root vegetables,sausage,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,
86,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,other vegetables,pork,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,berries,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,berries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,candles,fruit/vegetable juice,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,butter milk,citrus fruit,cream cheese,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,berries,chocolate,citrus fruit,coffee,hamburger meat,onions,pork,rice,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,
94,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,grapes,photo/film,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,brown bread,canned beer,fruit/vegetable juice,red/blush wine,rolls/buns,sausage,shopping bags,sliced cheese,waffles,,,,,,,,,,,,,,,,,,,,,,,
97,butter,chicken,citrus fruit,detergent,hamburger meat,oil,other vegetables,pasta,root vegetables,tropical fruit,,,,,,,,,,,,,,,,,,,,,,
98,brown bread,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,citrus fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,misc. beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,bathroom cleaner,grapes,pastry,pork,rolls/buns,sausage,soda,specialty bar,whole milk,,,,,,,,,,,,,,,,,,,,,,,
102,bottled water,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,bottled beer,coffee,fruit/vegetable juice,napkins,photo/film,sausage,shopping bags,softener,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,
104,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,fruit/vegetable juice,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,beef,berries,brown bread,citrus fruit,detergent,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
107,candy,cling film/bags,rolls/buns,soda,waffles,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
108,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,pip fruit,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,bottled beer,chewing gum,dishes,frankfurter,oil,other vegetables,pickled vegetables,rolls/buns,root vegetables,sausage,,,,,,,,,,,,,,,,,,,,,,
111,bottled water,packaged fruit/vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,bottled water,dessert,frozen vegetables,margarine,newspapers,red/blush wine,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
113,berries,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,UHT-milk,berries,citrus fruit,processed cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,bottled beer,frozen vegetables,hamburger meat,rolls/buns,sparkling wine,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
117,dishes,domestic eggs,frozen vegetables,hamburger meat,other vegetables,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
118,cream cheese,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,coffee,fish,long life bakery product,male cosmetics,margarine,other vegetables,pastry,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,
120,frankfurter,long life bakery product,sausage,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,canned beer,dessert,packaged fruit/vegetables,semi-finished bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,other vegetables,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,misc. beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,canned fruit,citrus fruit,cream cheese,domestic eggs,frankfurter,fruit/vegetable juice,hard cheese,hygiene articles,misc. beverages,pip fruit,rice,sausage,sugar,tropical fruit,whole milk,,,,,,,,,,,,,,,,,
126,sparkling wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,butter milk,rolls/buns,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,curd cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,dessert,frankfurter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,beverages,brown bread,shopping bags,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,berries,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,curd,flour,liquor (appetizer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,coffee,other vegetables,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Instant food products,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,frankfurter,margarine,rolls/buns,sausage,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,canned beer,misc. beverages,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,frozen vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,butter,citrus fruit,cream cheese,margarine,newspapers,oil,white bread,,,,,,,,,,,,,,,,,,,,,,,,,
145,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,baking powder,frankfurter,frozen vegetables,ham,other vegetables,pip fruit,rolls/buns,soft cheese,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,
147,butter milk,detergent,honey,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,bottled water,citrus fruit,dental care,hamburger meat,onions,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,
149,pasta,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,cake bar,chocolate,meat spreads,other vegetables,shopping bags,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
151,candles,citrus fruit,dessert,dishes,pork,sausage,white bread,,,,,,,,,,,,,,,,,,,,,,,,,
152,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,curd,dessert,grapes,napkins,other vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
154,beverages,bottled beer,frozen vegetables,fruit/vegetable juice,other vegetables,root vegetables,soft cheese,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
155,coffee,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,popcorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,bottled water,rolls/buns,soda,sugar,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,other vegetables,packaged fruit/vegetables,snack products,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,beef,cling film/bags,flour,flower soil/fertilizer,herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,butter,dessert,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,chewing gum,frankfurter,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,bottled water,specialty cheese,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,bottled beer,finished products,frozen vegetables,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,beverages,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,hamburger meat,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,long life bakery product,pastry,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,finished products,shopping bags,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,bottled beer,brown bread,fruit/vegetable juice,ham,other vegetables,tropical fruit,white bread,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
171,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,butter milk,cocoa drinks,curd,popcorn,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,cake bar,chocolate,curd,dessert,salty snack,shopping bags,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,
175,cereals,cream cheese,dog food,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,salt,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,dessert,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,coffee,sausage,soft cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,bottled water,dishes,other vegetables,shopping bags,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,ham,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,ice cream,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,bottled water,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,bottled beer,prosecco,soda,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,candy,herbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,bottled beer,butter,cereals,cream cheese,curd,domestic eggs,frankfurter,frozen fish,frozen meals,fruit/vegetable juice,ham,other vegetables,pip fruit,root vegetables,sliced cheese,soft cheese,sugar,tropical fruit,waffles,whipped/sour cream,white bread,whole milk,yogurt,,,,,,,,,
186,canned beer,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,cake bar,cream cheese,curd,semi-finished bread,shopping bags,specialty bar,zwieback,,,,,,,,,,,,,,,,,,,,,,,,,
188,frankfurter,margarine,shopping bags,spread cheese,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
189,other vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,dog food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,curd,detergent,liquor (appetizer),salt,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,frankfurter,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,beef,berries,brown bread,dessert,root vegetables,spread cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,
196,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,beef,herbs,pip fruit,pork,spices,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,UHT-milk,citrus fruit,frankfurter,margarine,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,bottled beer,liquor (appetizer),sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,curd,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,bottled water,newspapers,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,chewing gum,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,dishes,other vegetables,pork,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,citrus fruit,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,potted plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,pastry,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,bottled water,butter,hygiene articles,make up remover,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,
211,coffee,condensed milk,shopping bags,sugar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,other vegetables,sausage,shopping bags,soda,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,UHT-milk,beverages,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,beef,margarine,pork,rolls/buns,sausage,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
215,beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,beverages,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,cleaner,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,newspapers,sausage,shopping bags,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,beef,beverages,butter milk,citrus fruit,cookware,dish cleaner,hard cheese,other vegetables,rolls/buns,sausage,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,
223,misc. beverages,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,white wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,canned beer,rolls/buns,sausage,shopping bags,sliced cheese,soda,,,,,,,,,,,,,,,,,,,,,,,,,,
226,bottled beer,cake bar,curd,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,baking powder,cling film/bags,frankfurter,meat,oil,onions,tea,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,
228,canned beer,ice cream,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,berries,bottled water,other vegetables,root vegetables,shopping bags,tropical fruit,,,,,,,,,,,,,,,,,,,,,,,,,,
231,beverages,bottled water,brown bread,butter milk,citrus fruit,cream cheese,curd,dessert,meat,other vegetables,rolls/buns,tea,,,,,,,,,,,,,,,,,,,,
232,bottled water,mustard,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,beef,beverages,flower (seeds),house keeping products,rolls/buns,sausage,sliced cheese,spices,,,,,,,,,,,,,,,,,,,,,,,,
234,butter,curd,frankfurter,long life bakery product,rolls/buns,root vegetables,salty snack,sausage,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,
235,butter,meat,other vegetables,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Instant food products,beverages,detergent,pickled vegetables,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,herbs,other vegetables,rolls/buns,root vegetables,sliced cheese,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
238,margarine,semi-finished bread,whipped/sour cream,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,canned fish,canned vegetables,cereals,citrus fruit,curd,dessert,frozen dessert,hygiene articles,napkins,rolls/buns,salt,skin care,sugar,whipped/sour cream,whole milk,yogurt,,,,,,,,,,,,,,,,
240,candy,citrus fruit,curd,margarine,newspapers,pastry,sugar,,,,,,,,,,,,,,,,,,,,,,,,,
241,bottled beer,bottled water,misc. beverages,napkins,other vegetables,red/blush wine,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,
242,citrus fruit,rolls/buns,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,hygiene articles,napkins,oil,sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,beef,bottled beer,bottled water,butter,frankfurter,frozen dessert,grapes,hamburger meat,potato products,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,
245,bottled water,hard cheese,newspapers,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,chocolate,cream cheese,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,beef,dishes,frozen vegetables,photo/film,turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,other vegetables,pork,rolls/buns,shopping bags,soda,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,,
249,beverages,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,rolls/buns,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,bottled water,curd,hygiene articles,pip fruit,rolls/buns,sausage,sliced cheese,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,,,
252,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,liquor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,fruit/vegetable juice,other vegetables,pip fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,other vegetables,root vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,bottled water,chocolate,citrus fruit,newspapers,other vegetables,rolls/buns,sausage,soda,tropical fruit,whole milk,yogurt,,,,,,,,,,,,,,,,,,,,,
259,detergent,pet care,root vegetables,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,berries,other vegetables,pastry,pork,root vegetables,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,
261,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,coffee,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,butter,frankfurter,margarine,rolls/buns,sausage,spices,whipped/sour cream,,,,,,,,,,,,,,,,,,,,,,,,,
267,domestic eggs,hygiene articles,napkins,onions,other vegetables,pip fruit,soda,soups,sugar,tea,tropical fruit,whole milk,,,,,,,,,,,,,,,,,,,,
268,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,berries,citrus fruit,meat,root vegetables,soda,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,
